"Salesdate";"week_day";"payments_cash";"payments_card";"total";"any_guests"
"2024-12-01";"Sunday";5955;1495;7450;1
"2024-12-02";"Monday";0;0;0;0
"2024-12-03";"Tuesday";0;0;0;0
"2024-12-04";"Wednesday";1990;2255;4245;1
"2024-12-05";"Thursday";1290;10230;11520;1
"2024-12-06";"Friday";11530;12745;24275;1
"2024-12-07";"Saturday";21996;21920;43916;1
"2024-12-08";"Sunday";2910;3130;6040;1
"2024-12-09";"Monday";1115;0;1115;1
"2024-12-10";"Tuesday";0;1020;1020;1
"2024-12-11";"Wednesday";0;4685;4685;1
"2024-12-12";"Thursday";0;770;770;1
"2024-12-13";"Friday";17755;32405;50160;1
"2024-12-14";"Saturday";39550;26005;65555;1
"2024-12-15";"Sunday";0;4360;4360;1
"2024-12-16";"Monday";2215;4655;6870;1
"2024-12-17";"Tuesday";2600;1075;3675;1
"2024-12-18";"Wednesday";0;0;0;0
"2024-12-19";"Thursday";1295;670;1965;1
"2024-12-20";"Friday";11555;22290;33845;1
"2024-12-21";"Saturday";32321;28035;60356;1
"2024-12-22";"Sunday";0;6230;6230;1
"2024-12-23";"Monday";1010;3845;4855;1
"2024-12-24";"Tuesday";8290;15050;23340;1
"2024-12-25";"Wednesday";13165;5620;18785;1
"2024-12-26";"Thursday";7000;5500;12500;1
"2024-12-27";"Friday";15370;9825;25195;1
"2024-12-28";"Saturday";12220;27475;39695;1
"2024-12-29";"Sunday";4205;5730;9935;1
"2024-12-30";"Monday";0;0;0;0
"2024-12-31";"Tuesday";9630;9310;18940;1
"2025-01-01";"Wednesday";13955;5595;19550;1
"2025-01-02";"Thursday";0;5655;5655;1
"2025-01-03";"Friday";1875;15205;17080;1
"2025-01-04";"Saturday";16935;15300;32235;1
"2025-01-05";"Sunday";0;855;855;1
"2025-01-06";"Monday";0;955;955;1
"2025-01-07";"Tuesday";0;845;845;1
"2025-01-08";"Wednesday";0;4910;4910;1
"2025-01-09";"Thursday";3275;6175;9450;1
"2025-01-10";"Friday";5610;12375;17985;1
"2025-01-11";"Saturday";8670;22725;31395;1
"2025-01-12";"Sunday";0;0;0;0
"2025-01-13";"Monday";1945;1585;3530;1
"2025-01-14";"Tuesday";0;0;0;0
"2025-01-15";"Wednesday";2320;0;2320;1
"2025-01-16";"Thursday";3640;0;3640;1
"2025-01-17";"Friday";19905;25685;45590;1
"2025-01-18";"Saturday";18310;15860;34170;1
"2025-01-19";"Sunday";2730;1640;4370;1
"2025-01-20";"Monday";0;0;0;0
"2025-01-21";"Tuesday";965;2630;3595;1
"2025-01-22";"Wednesday";6085;0;6085;1
"2025-01-23";"Thursday";13590;1465;15055;1
"2025-01-24";"Friday";4685;11875;16560;1
"2025-01-25";"Saturday";35505;25950;61455;1
"2025-01-26";"Sunday";4280;2840;7120;1
"2025-01-27";"Monday";0;0;0;0
"2025-01-28";"Tuesday";0;0;0;0
"2025-01-29";"Wednesday";1150;0;1150;1
"2025-01-30";"Thursday";0;790;790;1
"2025-01-31";"Friday";9550;16830;26380;1
"2025-02-01";"Saturday";22645;16450;39095;1
"2025-02-02";"Sunday";1225;3525;4750;1
"2025-02-03";"Monday";0;2410;2410;1
"2025-02-04";"Tuesday";3290;3950;7240;1
"2025-02-05";"Wednesday";0;0;0;0
"2025-02-06";"Thursday";0;0;0;0
"2025-02-07";"Friday";9170;18320;27490;1
"2025-02-08";"Saturday";12185;0;12185;1
"2025-02-09";"Sunday";1680;0;1680;1
"2025-02-10";"Monday";0;1680;1680;1
"2025-02-11";"Tuesday";0;685;685;1
"2025-02-12";"Wednesday";820;0;820;1
"2025-02-13";"Thursday";0;6080;6080;1
"2025-02-14";"Friday";17590;52895;70485;1
"2025-02-15";"Saturday";14145;31475;45620;1
"2025-02-16";"Sunday";3140;5350;8490;1
"2025-02-17";"Monday";0;3905;3905;1
"2025-02-18";"Tuesday";0;0;0;0
"2025-02-19";"Wednesday";0;1175;1175;1
"2025-02-20";"Thursday";1700;2495;4195;1
"2025-02-21";"Friday";15855;43710;59565;1
"2025-02-22";"Saturday";25425;16295;41720;1
"2025-02-23";"Sunday";1715;1525;3240;1
